pharmacy_name,address,suburb,postal_code,latitude,longitude,tel,link_url
All Saints Pharmacy,393 Burwood Rd,Belmore,2192,-33.91809,151.0891,0297592624,https://www.yellowpages.com.au/nsw/belmore/all-saints-pharmacy-12117625-listing.html
Allsopp's F J Pharmacy,56 Celebration Rd,Sadlier,2168,-33.91429,150.88983,0296078205,https://www.yellowpages.com.au/nsw/sadlier/allsopps-f-j-pharmacy-11894279-listing.html
Amaroo Territory Pharmacy,Shop 2 100 Amaroo Dr,Moree,2400,-29.484891,149.838563,0267522866,https://www.yellowpages.com.au/nsw/moree/amaroo-territory-pharmacy-1000002250020-listing.html
Amcal,237 Main Road Cnr Main and Canton Beach Roads,Toukley,2263,-33.26384,151.541016,0243964228,https://www.yellowpages.com.au/nsw/toukley/amcal-12591050-listing.html
Amcal,"2 Town Centre Circuit, Shop 12, Salamander Centre",Salamander Bay,2317,-32.735781,152.106794,0249827644,https://www.yellowpages.com.au/nsw/salamander-bay/amcal-13136749-listing.html
Amcal,Shop 2a - 184 Sydney Airport Domestic Terminal 2,Mascot,2020,-33.929734,151.195145,0296932131,https://www.yellowpages.com.au/nsw/mascot/amcal-1000002289400-listing.html
Amcal,Specialist Medical Centre Suite G 05 343-345 Pacific Hwy,Coffs Harbour,2450,-30.315963,153.093036,0266522336,https://www.yellowpages.com.au/nsw/coffs-harbour/amcal-14637924-listing.html
Amcal,368 Main Rd,Toukley,2263,-33.266548,151.549456,0243964785,https://www.yellowpages.com.au/nsw/toukley/amcal-1000002362361-listing.html
Amcal Chemist,McMahons Rd,Nowra,2541,-34.8603480289,150.572773586,0244215100,https://www.yellowpages.com.au/nsw/nowra/amcal-chemist-13815545-listing.html
Amcal Chemist Neutral Bay,3 Waters Rd,Neutral Bay,2089,-33.83092,151.223829,0299531910,https://www.yellowpages.com.au/nsw/neutral-bay/amcal-chemist-neutral-bay-1000001818904-listing.html
Amcal Chemist Queanbeyan,23 Antill St,Queanbeyan,2620,-35.349418,149.232383,0262976570,https://www.yellowpages.com.au/nsw/queanbeyan/amcal-chemist-queanbeyan-14604655-listing.html
Amcal Chemist Warners Bay,34 John St,Warners Bay,2282,-32.974093,151.646069,0249488166,https://www.yellowpages.com.au/nsw/warners-bay/amcal-chemist-warners-bay-12534147-listing.html
Amcal Chemist Winston Hills,"Shop 20, Winston Hills Mall, Caroline Chisolm Drv",Winston Hills,2153,-33.77234,150.96892,0296247816,https://www.yellowpages.com.au/nsw/winston-hills/amcal-chemist-winston-hills-13559580-listing.html
AMCAL MAX Emu Plains,Address not found,Emu Plains,2750,Latitude not found,Longitude not found,0247316833,https://www.yellowpages.com.au/nsw/emu-plains/amcal-max-emu-plains-15554990-listing.html
Amcal Max Forster,49 Wharf St,Forster,2428,-32.180137,152.510954,0265546322,https://www.yellowpages.com.au/nsw/forster/amcal-max-forster-14796744-listing.html
AMCAL MAX Pharmacy,Address not found,Emu Plains,2750,Latitude not found,Longitude not found,0247351303,https://www.yellowpages.com.au/nsw/emu-plains/amcal-max-pharmacy-12281296-listing.html
Amcal Max Pharmacy Kempsey,"Shop 5-7 Kempsey Central, 2 Belgrave St",Kempsey,2440,-31.080252,152.840676,0265624266,https://www.yellowpages.com.au/nsw/kempsey/amcal-max-pharmacy-kempsey-11917732-listing.html
Amcal Max Pharmacy Kempsey,"Shop 5-7 Kempsey Central, 2 Belgrave St",Kempsey,2440,-31.080252,152.840676,0265624266,https://www.yellowpages.com.au/nsw/kempsey/amcal-max-pharmacy-kempsey-1000002801666-listing.html
Amcal Moorebank Pharmacy,1/ 42 Stockton Ave,Moorebank,2170,-33.93285,150.94869,0296023255,https://www.yellowpages.com.au/nsw/moorebank/amcal-moorebank-pharmacy-12222331-listing.html
Amcal Pharmacy,Domestic Terminal 2 Shop 2t 459 Pier B,Mascot,2020,-33.930267,151.193989,0297009666,https://www.yellowpages.com.au/nsw/mascot/amcal-pharmacy-12736144-listing.html
Amcal Pharmacy,59 Mitchell St,Stockton,2295,-32.915267,151.784586,0249281328,https://www.yellowpages.com.au/nsw/stockton/amcal-pharmacy-1000002351123-listing.html
Amcal Pharmacy,113 Pine Ave,Leeton,2705,-34.551257,146.404654,0269533602,https://www.yellowpages.com.au/nsw/leeton/amcal-pharmacy-14857579-listing.html
Andrews Pharmacy,437 Princess Highway,Corrimal,2518,-34.38241,150.89481,0242831198,https://www.yellowpages.com.au/nsw/corrimal/andrews-pharmacy-14260281-listing.html
Andrews Pharmacy,23 Mackenzie Ave (Off Reddall Parade),Mt Warrigal,2528,-34.548005,150.837141,0242977197,https://www.yellowpages.com.au/nsw/mt-warrigal/andrews-pharmacy-1000002608367-listing.html
Andrews Pharmacy,23 Mackenzie Avenue Off Reddall Mt Warrigal 2000,Sydney,2000,-33.768788,150.907003,0242977197,https://www.yellowpages.com.au/nsw/sydney/andrews-pharmacy-14917323-listing.html
Andrews Pharmacy,23 Mackenzie Ave Off Reddall Parade,Mt Warrigal,2528,-34.548005,150.837141,0242977197,https://www.yellowpages.com.au/nsw/mt-warrigal/andrews-pharmacy-14822480-listing.html
Andrews Pharmacy,23 Mackenzie Ave,Mt Warrigal,2528,-34.548004999999996,150.837141,0242977197,https://www.yellowpages.com.au/nsw/mt-warrigal/andrews-pharmacy-12298719-listing.html
Andrews Pharmacy,132 Burdekin Dr,Albion Park,2527,-34.588225,150.786228,0242568820,https://www.yellowpages.com.au/nsw/albion-park/andrews-pharmacy-1000002608368-listing.html
Annandale Pharmacy,107 Parramatta Rd,Annandale,2038,-33.887668,151.167364,0295602319,https://www.yellowpages.com.au/nsw/annandale/annandale-pharmacy-12600612-listing.html
Annandale Village Pharmacy,107 Johnston St,Annandale,2038,-33.881408,151.171015,0296601276,https://www.yellowpages.com.au/nsw/annandale/annandale-village-pharmacy-14831160-listing.html
Anthony Phan's Pharmacy,212 Lyons Rd,Russell Lea,2046,-33.856992,151.145255,0297136287,https://www.yellowpages.com.au/nsw/russell-lea/anthony-phans-pharmacy-12500082-listing.html
A P I Health Care Head Office,Address not found,Camellia,2142,Latitude not found,Longitude not found,0288442000,https://www.yellowpages.com.au/nsw/camellia/a-p-i-health-care-head-office-12683697-listing.html
Arcade Pharmacy,Shop 11 Engadine Central Shopping Centre 1031 Old Princes Hwy,Engadine,2233,-34.06382,151.013794,0295208484,https://www.yellowpages.com.au/nsw/engadine/arcade-pharmacy-1000002606589-listing.html
Arcade Pharmacy Wentworthville,27 Dunmore St,Wentworthville,2145,-33.807339,150.971781,0296319782,https://www.yellowpages.com.au/nsw/wentworthville/arcade-pharmacy-wentworthville-12856887-listing.html
Arcade Photographics,145 Katoomba St,Katoomba,2780,-33.715611,150.3109,0247823677,https://www.yellowpages.com.au/nsw/katoomba/arcade-photographics-14405266-listing.html
Ardlethan Pharmacy,32A Ariah St,Ardlethan,2665,-34.357203,146.901428,0269782068,https://www.yellowpages.com.au/nsw/ardlethan/ardlethan-pharmacy-14795111-listing.html
Argyle Street Pharmacy,"Shop 13, Westfield Shoppingtown",Parramatta,2150,-33.815237,151.003125,0296877401,https://www.yellowpages.com.au/nsw/parramatta/argyle-street-pharmacy-14693587-listing.html
Ariah Park Pharmacy,71 Coolamon St,Ariah Park,2665,-34.346856,147.221623,0269741079,https://www.yellowpages.com.au/nsw/ariah-park/ariah-park-pharmacy-14896645-listing.html
Arkles Pharmacy,81 Bondi Rd,Bondi,2026,-33.893796,151.261062,0293893118,https://www.yellowpages.com.au/nsw/bondi/arkles-pharmacy-13208441-listing.html
Armidale Life Pharmacy,Shop 2 28 Rockvale Rd,Armidale,2350,-30.500581,151.674169,0267727557,https://www.yellowpages.com.au/nsw/armidale/armidale-life-pharmacy-1000002232223-listing.html
Armidale Pharmacy,114 Dangar St,Armidale,2350,-30.51385,151.66515,0267711234,https://www.yellowpages.com.au/nsw/armidale/armidale-pharmacy-15547596-listing.html
Arncliffe Pharmacy,26 Firth St,Arncliffe,2205,-33.937009,151.146459,0295671550,https://www.yellowpages.com.au/nsw/arncliffe/arncliffe-pharmacy-12292029-listing.html
Arncliffe Station Pharmacy,17 Firth St,Arncliffe,2205,-33.936316,151.146783,0295671554,https://www.yellowpages.com.au/nsw/arncliffe/arncliffe-station-pharmacy-12377673-listing.html
Arsenis Leichhardt Pharmacy,26 Norton St,Leichhardt,2040,-33.887087,151.157203,0295602374,https://www.yellowpages.com.au/nsw/leichhardt/arsenis-leichhardt-pharmacy-13254965-listing.html
Artillery Crescent Pharmacy,8 Artillery Crst,Seven Hills,2147,-33.771858,150.935473,0296243532,https://www.yellowpages.com.au/nsw/seven-hills/artillery-crescent-pharmacy-12546426-listing.html
Astley Soul Pattinson Pharmacy,Cnr Pennant Hills Rd and Fisher Ave,Pennant Hills,2120,-33.738897,151.069794,0294847070,https://www.yellowpages.com.au/nsw/pennant-hills/astley-soul-pattinson-pharmacy-13047299-listing.html
Atallah's Pharmacy,185A Forest Rd,Hurstville,2220,-33.967973,151.10431,0295802145,https://www.yellowpages.com.au/nsw/hurstville/atallahs-pharmacy-13218011-listing.html
Athelstane Pharmacy,93 Wollongong Rd,Arncliffe,2205,-33.936907,151.140751,0295671534,https://www.yellowpages.com.au/nsw/arncliffe/athelstane-pharmacy-13644217-listing.html
Atli's Country Pharmacy,Address not found,Nowra,2541,Latitude not found,Longitude not found,0244210230,https://www.yellowpages.com.au/nsw/nowra/atlis-country-pharmacy-12255753-listing.html
Auburn Alpha Pharmacy,45 Auburn Rd,Auburn,2144,-33.851869,151.032418,0296497900,https://www.yellowpages.com.au/nsw/auburn/auburn-alpha-pharmacy-12505934-listing.html
Auburn Central Pharmacy,Address not found,Auburn,2144,Latitude not found,Longitude not found,0296492900,https://www.yellowpages.com.au/nsw/auburn/auburn-central-pharmacy-12842210-listing.html
Australia Health Productss Central Pty Ltd,10 James Ruse Dr,Clyde,2142,-33.832324,151.018997,0298970403,https://www.yellowpages.com.au/nsw/clyde/australia-health-productss-central-pty-ltd-1000002704110-listing.html
Australian Custom Pharmaceuticals,1/ 4 Endeavour Rd,Caringbah,2229,-34.032348,151.131235,1300789565,https://www.yellowpages.com.au/nsw/caringbah/australian-custom-pharmaceuticals-14916907-listing.html
Austral Pharmacy,Cnr Edmondson Ave and Tenth Ave,Austral,2171,-33.933145,150.811981,0296069091,https://www.yellowpages.com.au/nsw/austral/austral-pharmacy-12561794-listing.html
Avalon Beach Pharmacy,40 Avalon Parade,Avalon Beach,2107,-33.635569,151.328154,0299182827,https://www.yellowpages.com.au/nsw/avalon-beach/avalon-beach-pharmacy-14386305-listing.html
AVOCA BEACH PHARMACY,172-174 Avoca Dr,Avoca Beach,2251,-33.465498,151.433089,0243821314,https://www.yellowpages.com.au/nsw/avoca-beach/avoca-beach-pharmacy-1000002010069-listing.html
Avoca Beach Pharmacy,174 Avoca Dr,Avoca Beach,2251,-33.465595,151.432884,0243821314,https://www.yellowpages.com.au/nsw/avoca-beach/avoca-beach-pharmacy-13851557-listing.html
Balgownie Village Pharmacy,158 Balgownie Rd,Balgownie,2519,-34.388371,150.877846,0242844027,https://www.yellowpages.com.au/nsw/balgownie/balgownie-village-pharmacy-12336102-listing.html
Ballard's Pharmacy,Shop 4/ 4 Ford St,Moruya,2537,-35.910777,150.083605,0244742064,https://www.yellowpages.com.au/nsw/moruya/ballards-pharmacy-14575109-listing.html
Ballina Chemmart Pharmacy,102-110 River St,Ballina,2478,-28.870987,153.560839,0266868800,https://www.yellowpages.com.au/nsw/ballina/ballina-chemmart-pharmacy-15545621-listing.html
Balmain Compounding Pharmacy,298 Darling St,Balmain,2041,-33.857507,151.180516,0298185822,https://www.yellowpages.com.au/nsw/balmain/balmain-compounding-pharmacy-14737042-listing.html
Balmain Soul Pattinson Chemist,273 Darling St,Balmain,2041,-33.857394,151.181392,0298102942,https://www.yellowpages.com.au/nsw/balmain/balmain-soul-pattinson-chemist-13383939-listing.html
Bangalow Pharmacy,23 Byron Street St,Bangalow,2479,-28.6862,153.5243,0266871104,https://www.yellowpages.com.au/nsw/bangalow/bangalow-pharmacy-12712918-listing.html
Bangor Community Pharmacy,Bangor Centre,Bangor,2234,-34.018341,151.029679,0295431660,https://www.yellowpages.com.au/nsw/bangor/bangor-community-pharmacy-13606550-listing.html
Bangor Pharmacy,93 Oyster Bay Rd,Oyster Bay,2225,-34.0068,151.083147,0295893123,https://www.yellowpages.com.au/nsw/oyster-bay/bangor-pharmacy-15028569-listing.html
Banksia Pharmacy,25 Railway St,Banksia,2216,-33.945099,151.139932,0295671470,https://www.yellowpages.com.au/nsw/banksia/banksia-pharmacy-12123442-listing.html
Bankstown Compounding Pharmacy,2/ 6-8 Bankstown City Plza,Bankstown,2200,-33.91859,151.034655,0297902432,https://www.yellowpages.com.au/nsw/bankstown/bankstown-compounding-pharmacy-15721860-listing.html
Barangaroo Pharmacy,300 Barangaroo Ave,Barangaroo,2000,-33.865115,151.202198,0292331338,https://www.yellowpages.com.au/nsw/barangaroo/barangaroo-pharmacy-1000002146003-listing.html
Barbara Moore Amcal Chemist,70 Hyde St,Bellingen,2454,-30.452234,152.896504,0266551124,https://www.yellowpages.com.au/nsw/bellingen/barbara-moore-amcal-chemist-13245613-listing.html
Barham Pharmacy,30 Noorong St,Barham,2732,-35.629374,144.127879,0354532330,https://www.yellowpages.com.au/vic/barham/barham-pharmacy-1000001894849-listing.html
Barnes & Banks Soul Pattinson Chemist,25 Oxford Rd,Ingleburn,2565,-33.998716,150.865894,0296051583,https://www.yellowpages.com.au/nsw/ingleburn/barnes-banks-soul-pattinson-chemist-13032676-listing.html
Barone Pharmacy,Shop 2/ 118 Ware St,Fairfield,2165,-33.86944,150.95462,0297242572,https://www.yellowpages.com.au/nsw/fairfield/barone-pharmacy-12515948-listing.html
Barone Pharmacy Chullora,Shop 6/ 355 Waterloo Rd,Greenacre,2190,-33.89299,151.0611,0297588549,https://www.yellowpages.com.au/nsw/greenacre/barone-pharmacy-chullora-12149508-listing.html
Barooga St George Discount Pharmacy,3/ 45 Vermont St,Barooga,3644,-35.912363,145.691245,0358734335,https://www.yellowpages.com.au/nsw/barooga/barooga-st-george-discount-pharmacy-14909473-listing.html
Barwell Pharmacy,Shop 18 7 Barwell Ave,Castle Hill,2154,-33.73401,151.00228,0296804763,https://www.yellowpages.com.au/nsw/castle-hill/barwell-pharmacy-12858661-listing.html
Basger's Pharmacy,1 Mitchell St,North Bondi,2026,-33.882198,151.276432,0291307515,https://www.yellowpages.com.au/nsw/north-bondi/basgers-pharmacy-12496346-listing.html
Basger's Pharmacy,Cnr Murriverie Rd and Mitchell St,North Bondi,2026,-33.882198,151.276432,0291307515,https://www.yellowpages.com.au/nsw/north-bondi/basgers-pharmacy-15194318-listing.html
Basin View Pharmacy,2/ 1 Tallyan Point Rd,Basin View,2540,-35.09084,150.5626,0244435038,https://www.yellowpages.com.au/nsw/basin-view/basin-view-pharmacy-13598166-listing.html
Bassam's Pharmacy,437 Beamish St,Campsie,2194,-33.917706,151.104496,0297188071,https://www.yellowpages.com.au/nsw/campsie/bassams-pharmacy-12161336-listing.html
Bateau Bay Pharmacy,560 The Entrance Rd,Bateau Bay,2261,-33.3887,151.47338,0243326464,https://www.yellowpages.com.au/nsw/bateau-bay/bateau-bay-pharmacy-13661443-listing.html
Bateau Bay Road Chemist,99A Bateau Bay Rd,Bateau Bay,2261,-33.381215,151.48087,0243327753,https://www.yellowpages.com.au/nsw/bateau-bay/bateau-bay-road-chemist-13062312-listing.html
Batehaven Pharmacy,256 Beach Rd,Batehaven,2536,-35.732305,150.199823,0244725163,https://www.yellowpages.com.au/nsw/batehaven/batehaven-pharmacy-12268555-listing.html
Baulkham Hills Amcal Pharmacy,Shops 3 and 4 Stockland Mall Cnr Olive St and Old Northern Rd,Baulkham Hills,2153,-33.7615,150.99341,0296393122,https://www.yellowpages.com.au/nsw/baulkham-hills/baulkham-hills-amcal-pharmacy-12993710-listing.html
Bawley Point Pharmacy,Shop 8/ 2 Voyager Crst,Bawley Point,2539,-35.52281,150.39213,0244572990,https://www.yellowpages.com.au/nsw/bawley-point/bawley-point-pharmacy-12781293-listing.html
Bay Central Pharmacy,1/ 9 Orient St,Batemans Bay,2536,-35.707094,150.178453,0244725758,https://www.yellowpages.com.au/nsw/batemans-bay/bay-central-pharmacy-14148979-listing.html
Beachside Pharmacy,1/ 95 Princes Hwy,Ulladulla,2539,-35.357565,150.473497,0244552142,https://www.yellowpages.com.au/nsw/ulladulla/beachside-pharmacy-1000000765099-listing.html
Beddies Pharmacy,105 Wallendoon St,Cootamundra,2590,-34.638898,148.024776,0269421770,https://www.yellowpages.com.au/nsw/cootamundra/beddies-pharmacy-13410572-listing.html
Beecroft Pharmacy,11 Wongala Crst,Beecroft,2119,-33.749415,151.065828,0294841000,https://www.yellowpages.com.au/nsw/beecroft/beecroft-pharmacy-12059304-listing.html
Bellambi Drive Thru Pharmacy,5/53- 55 Pioneer Rd,Bellambi,2518,-34.368365,150.910652,0242831198,https://www.yellowpages.com.au/nsw/bellambi/bellambi-drive-thru-pharmacy-14057676-listing.html
Bellingen Amcal Pharmacy,70 Hyde St,Bellingen,2454,-30.452234,152.896504,0266551124,https://www.yellowpages.com.au/nsw/bellingen/bellingen-amcal-pharmacy-13926512-listing.html
Bell John Chemist,6 Oxford St,Woollahra,2025,-33.88865,151.232438,0293312844,https://www.yellowpages.com.au/nsw/woollahra/bell-john-chemist-15054994-listing.html
Belmore Road Pharmacy,323 Belmore Rd,Riverwood,2210,-33.94969,151.05218,0291538710,https://www.yellowpages.com.au/nsw/riverwood/belmore-road-pharmacy-12793974-listing.html
Belrose Chemist,"Shop 5, Glenrose Village Shopping Centre, 56-58 Glen St",Belrose,2085,-33.739238,151.210011,0294525989,https://www.yellowpages.com.au/nsw/belrose/belrose-chemist-11849119-listing.html
Belrose-Davidson Chemmart,Shop 41-42 Glenrose Centre Glen St,Belrose,2085,-33.73925,151.2128,0294525989,https://www.yellowpages.com.au/nsw/belrose/belrose-davidson-chemmart-12707052-listing.html
Beresfield Pharmacy,Address not found,Beresfield,2322,Latitude not found,Longitude not found,0249662484,https://www.yellowpages.com.au/nsw/beresfield/beresfield-pharmacy-12741352-listing.html
Berkeley Pharmacy,Cnr Winnima Way and Parkway Ave,Berkeley,2506,-34.480092,150.848228,0242711258,https://www.yellowpages.com.au/nsw/berkeley/berkeley-pharmacy-12890027-listing.html
Berkeley Vale Pharmacy,252 Lakedge Ave,Berkeley Vale,2261,-33.33959,151.437529,0243882323,https://www.yellowpages.com.au/nsw/berkeley-vale/berkeley-vale-pharmacy-12303864-listing.html
Berkeley Village Pharmacy,Address not found,Berkeley Vale,2261,Latitude not found,Longitude not found,0243885910,https://www.yellowpages.com.au/nsw/berkeley-vale/berkeley-village-pharmacy-13449661-listing.html
Bermagui Pharmacy,22 Lamont St,Bermagui,2546,-36.426768,150.077984,0264934353,https://www.yellowpages.com.au/nsw/bermagui/bermagui-pharmacy-14625960-listing.html
Bermagui Pharmacy,22 Lamont St,Bermagui,2546,-36.426768,150.077959,0264934353,https://www.yellowpages.com.au/nsw/bermagui/bermagui-pharmacy-1000002785188-listing.html
Berrigan Pharmacy,67 - 69 Chanter St,Berrigan,2712,-35.65754,145.81043,0358852400,https://www.yellowpages.com.au/vic/berrigan/berrigan-pharmacy-12547901-listing.html
Berry & French Pharmacy,47 Bridge St,Muswellbrook,2333,-32.263088,150.889224,0265425500,https://www.yellowpages.com.au/nsw/muswellbrook/berry-french-pharmacy-12376994-listing.html
BESTBUY Pharmacy Wynyard,"Shop W 14, Wynyard Station",Sydney,2000,-33.865828,151.207141,0292991327,https://www.yellowpages.com.au/nsw/sydney/bestbuy-pharmacy-wynyard-14585098-listing.html
Bickle's Pharmacy - Merrylands,10C Hilltop Rd,Merrylands,2160,-33.826674,150.982416,0296356036,https://www.yellowpages.com.au/nsw/merrylands/bickles-pharmacy-merrylands-12644379-listing.html
Bill Warner Chemist,334 Victoria St,Darlinghurst,2010,-33.87893,151.22153,0293314766,https://www.yellowpages.com.au/nsw/darlinghurst/bill-warner-chemist-12593320-listing.html
Bingara Pharmacy The,Address not found,Binnaway,2395,Latitude not found,Longitude not found,0267241400,https://www.yellowpages.com.au/sup/bingara-pharmacy-the-12666410-listing.html
Binnaway Pharmacy,16 Renshaw St,Binnaway,2395,-31.552599,149.377368,0268441378,https://www.yellowpages.com.au/nsw/binnaway/binnaway-pharmacy-15775857-listing.html
Birrong Pharmacy,89 Auburn Rd,Birrong,2143,-33.891027,151.02257,0296442788,https://www.yellowpages.com.au/nsw/birrong/birrong-pharmacy-12062431-listing.html
Bisaro's Pharmacy,56 Anderson Ave,Panania,2213,-33.954716,150.998062,0297737880,https://www.yellowpages.com.au/nsw/panania/bisaros-pharmacy-15370927-listing.html
Blackbutt Pharmacy,58 Orchardtown Rd,New Lambton,2305,-32.933804,151.707905,0249572474,https://www.yellowpages.com.au/nsw/new-lambton/blackbutt-pharmacy-13165791-listing.html
Black & White Pharmacy,337 Hume Hwy,Liverpool,2170,-33.93076,150.9172,0296023145,https://www.yellowpages.com.au/nsw/liverpool/black-white-pharmacy-12163215-listing.html
Blake's Pharmacy,Address not found,Kings Cross,2011,Latitude not found,Longitude not found,0293586712,https://www.yellowpages.com.au/sup/blakes-pharmacy-14170368-listing.html
Blake's Pharmacy,28 Darlinghurst Rd,Kings Cross,2011,-33.87337,151.22492,0293586712,https://www.yellowpages.com.au/nsw/kings-cross/blakes-pharmacy-13424252-listing.html
"Blaxland Day ""n"" Night Pharmacy",138 Great Western Hwy,Blaxland,2774,-33.744398,150.609711,0247391611,https://www.yellowpages.com.au/nsw/blaxland/blaxland-day-n-night-pharmacy-14326208-listing.html
Blayney Pharmacy,112 Adelaide St,Blayney,2799,-33.529608,149.256469,0263682025,https://www.yellowpages.com.au/nsw/blayney/blayney-pharmacy-13646162-listing.html
Bligh Park Pharmacy,"Shop 4 Bligh Park Shopping Centre, Colonial Drv",Bligh Park,2756,-33.635086,150.789378,0245726444,https://www.yellowpages.com.au/nsw/bligh-park/bligh-park-pharmacy-11863116-listing.html
Blooms Chemist Windsor Market Place,Shop 7 Windsor Marketplace 6-16 Kable St,Windsor,2756,-33.605163,150.821392,0245773010,https://www.yellowpages.com.au/nsw/windsor/blooms-chemist-windsor-market-place-14908647-listing.html
Blooms Goulburn Northside,312 Auburn St,Goulburn,2580,-34.751444,149.720218,0248211980,https://www.yellowpages.com.au/nsw/goulburn/blooms-goulburn-northside-14706974-listing.html
Blooms The Chemist,216-220 Auburn St,Goulburn,2580,-34.753641,149.718676,0248212592,https://www.yellowpages.com.au/nsw/goulburn/blooms-the-chemist-14824871-listing.html
Blooms The Chemist,"Shop Mm 0.11-mm 0.12 Bankstown Central, 1 North Tce",Bankstown,2200,-33.916575,151.038622,0297092831,https://www.yellowpages.com.au/nsw/bankstown/blooms-the-chemist-15063469-listing.html
Blooms The Chemist,Address not found,South West Rocks,2431,Latitude not found,Longitude not found,0265666155,https://www.yellowpages.com.au/nsw/south-west-rocks/blooms-the-chemist-15759277-listing.html
Blooms The Chemist,Address not found,Burwood,2134,Latitude not found,Longitude not found,0297449508,https://www.yellowpages.com.au/nsw/burwood/blooms-the-chemist-12363807-listing.html
Blooms The Chemist,559 Crown St,Surry Hills,2010,-33.8907,151.212763,0293102631,https://www.yellowpages.com.au/nsw/surry-hills/blooms-the-chemist-1000002363515-listing.html
Blooms The Chemist,"Shop 120-121, Dapto Mall, 75 Princes Hwy",Dapto,2530,-34.494864,150.795176,0242622122,https://www.yellowpages.com.au/nsw/dapto/blooms-the-chemist-1000002277217-listing.html
Blooms The Chemist,Shop 4/ 108 Blaxland Ave,Singleton Heights,2330,-32.547765,151.162867,0265732964,https://www.yellowpages.com.au/nsw/singleton-heights/blooms-the-chemist-14530581-listing.html
Blooms The Chemist,Wagga Wagga Marketplace Shop 61 Forsyth St,Wagga Wagga,2650,-35.1147,147.370998,0269212101,https://www.yellowpages.com.au/nsw/wagga-wagga/blooms-the-chemist-1000002256313-listing.html
Blooms The Chemist,257 Gregory St,South West Rocks,2431,-30.907199,153.042372,0265666155,https://www.yellowpages.com.au/nsw/south-west-rocks/blooms-the-chemist-12587373-listing.html
